Lyopholized in Dextranol; Stored 33 days at room temperature,
043 20190401 RT DexOL 33d001:10_UV,
ml, mAU
47.57,0.92
47.71,0.79
47.84,0.82
47.97,0.85
48.11,0.76
48.24,0.77
48.37,0.78
48.51,0.73
48.64,0.73
48.77,0.77
48.91,0.71
49.04,0.74
49.17,0.78
49.30,0.71
49.44,0.72
49.57,0.79
49.70,0.73
49.84,0.73
49.97,0.79
50.10,0.76
50.24,0.78
50.37,0.84
50.50,0.81
50.64,0.83
50.77,0.90
50.90,0.85
51.04,0.91
51.17,0.98
51.30,0.92
51.44,1.00
51.57,1.03
51.70,1.05
51.84,1.18
51.97,1.22
52.10,1.20
52.24,1.31
52.37,1.32
52.50,1.38
52.64,1.47
52.77,1.48
52.90,1.56
53.04,1.59
53.17,1.65
53.30,1.69
53.44,1.74
53.57,1.78
53.70,1.84
53.84,1.83
53.97,1.87
54.10,1.88
54.24,1.93
54.37,1.92
54.50,1.92
54.64,2.12
54.77,1.95
54.90,1.93
55.03,1.87
55.17,1.96
55.30,1.90
55.43,1.86
55.57,1.90
55.70,1.86
55.83,1.86
55.97,1.89
56.10,1.83
56.23,1.83
56.37,1.86
56.50,1.84
56.63,1.79
56.77,1.85
56.90,1.83
57.03,1.86
57.17,1.86
57.30,1.88
57.43,1.82
57.57,1.94
57.70,1.90
57.83,1.94
57.97,2.01
58.10,2.04
58.23,2.05
58.37,2.20
58.50,2.25
58.63,2.36
58.77,2.48
58.90,2.60
59.03,2.74
59.17,2.97
59.30,3.14
59.43,3.40
59.57,3.66
59.70,3.99
59.83,4.34
59.97,4.77
60.10,5.25
60.23,5.80
60.37,6.33
60.50,6.98
60.63,7.63
60.76,8.36
60.90,9.22
61.03,10.02
61.16,10.90
61.30,11.89
61.43,12.83
61.56,13.87
61.70,14.95
61.83,15.94
61.96,17.00
62.10,18.08
62.23,19.05
62.36,20.09
62.50,21.10
62.63,21.97
62.76,22.82
62.90,23.68
63.03,24.36
63.16,24.96
63.30,25.48
63.43,25.87
63.56,26.23
63.70,26.44
63.83,26.49
63.96,26.66
64.10,26.29
64.23,26.15
64.36,25.80
64.50,25.28
64.63,24.79
64.76,24.21
64.90,23.47
65.03,22.79
65.16,21.98
65.30,21.12
65.43,20.26
65.56,19.40
65.70,18.47
65.83,17.56
65.96,16.65
66.10,15.68
66.23,14.75
66.36,13.90
66.50,12.96
66.63,12.19
66.76,11.40
66.89,10.53
67.03,9.87
67.16,9.14
67.29,8.43
67.43,7.87
67.56,7.23
67.69,6.69
67.83,6.21
67.96,5.67
68.09,5.22
68.23,4.86
68.36,4.42
68.49,4.09
68.63,3.81
68.76,3.47
68.89,3.21
69.03,2.98
69.16,2.72
69.29,2.54
69.43,2.37
69.56,2.16
69.69,1.99
69.83,1.86
69.96,1.71
70.09,1.62
70.23,1.50
70.36,1.42
70.49,1.31
70.63,1.24
70.76,1.16
70.89,1.05
71.03,1.03
71.16,0.94
71.29,0.90
71.43,0.87
71.56,0.79
71.69,0.77
71.83,0.75
71.96,0.63
72.09,0.64
72.23,0.61
72.36,0.56
72.49,0.55
72.62,0.51
72.76,0.48
72.89,0.48
73.02,0.45
73.16,0.41
73.29,0.53
73.42,0.55
73.56,0.36
73.69,0.31
73.82,0.33
73.96,0.37
74.09,0.26
74.22,0.29
74.36,0.31
74.49,0.23
74.62,0.24
74.76,0.27
74.89,0.20
75.02,0.25
75.16,0.24
75.29,0.13
75.42,0.19
75.56,0.14
75.69,0.13
75.82,0.17
75.96,0.14
76.09,0.12
76.22,0.17
76.36,0.10
76.49,0.11
76.62,0.13
76.76,0.11
76.89,0.07
77.02,0.07
77.16,0.06
