Lyopholized in Dextran; Stored 30 days at 45$^\circ$C,
043 Dextran 45C day 30001:10_UV,
ml, mAU
47.71,2.26
47.84,2.39
47.97,2.50
48.11,2.39
48.24,2.39
48.37,2.49
48.51,2.58
48.64,2.57
48.77,2.65
48.91,2.81
49.04,2.73
49.17,2.85
49.30,2.97
49.44,2.95
49.57,3.11
49.70,3.18
49.84,3.18
49.97,3.31
50.10,3.34
50.24,3.44
50.37,3.49
50.50,3.58
50.64,3.66
50.77,3.75
50.90,3.78
51.04,3.86
51.17,3.94
51.30,4.01
51.44,4.09
51.57,4.15
51.70,4.20
51.84,4.29
51.97,4.32
52.10,4.43
52.24,4.50
52.37,4.51
52.50,4.62
52.64,4.65
52.77,4.72
52.90,4.80
53.04,4.85
53.17,4.88
53.30,4.97
53.44,4.99
53.57,5.02
53.70,5.07
53.84,5.12
53.97,5.19
54.10,5.21
54.24,5.26
54.37,5.27
54.50,5.32
54.64,5.35
54.77,5.35
54.90,5.45
55.03,5.44
55.17,5.47
55.30,5.50
55.43,5.53
55.57,5.54
55.70,5.62
55.83,5.55
55.97,5.63
56.10,5.69
56.23,5.67
56.37,5.67
56.50,5.82
56.63,5.70
56.77,5.75
56.90,5.88
57.03,5.73
57.17,5.81
57.30,5.97
57.43,5.78
57.57,5.96
57.70,5.87
57.83,5.91
57.97,6.02
58.10,5.87
58.23,5.96
58.37,6.05
58.50,5.97
58.63,6.02
58.77,6.08
58.90,6.02
59.03,6.11
59.17,6.13
59.30,6.12
59.43,6.19
59.57,6.24
59.70,6.23
59.83,6.30
59.97,6.42
60.10,6.43
60.23,6.52
60.37,6.63
60.50,6.68
60.63,6.79
60.76,6.90
60.90,6.99
61.03,7.12
61.16,7.26
61.30,7.34
61.43,7.47
61.56,7.67
61.70,7.74
61.83,7.87
61.96,8.03
62.10,8.07
62.23,8.26
62.36,8.31
62.50,8.37
62.63,8.49
62.76,8.52
62.90,8.55
63.03,8.61
63.16,8.56
63.30,8.52
63.43,8.47
63.56,8.39
63.70,8.32
63.83,8.20
63.96,8.05
64.10,7.88
64.23,7.71
64.36,7.49
64.50,7.29
64.63,7.09
64.76,6.83
64.90,6.57
65.03,6.30
65.16,6.04
65.30,5.77
65.43,5.47
65.56,5.21
65.70,4.92
65.83,4.65
65.96,4.38
66.10,4.10
66.23,3.85
66.36,3.59
66.50,3.35
66.63,3.34
66.76,2.92
66.89,2.57
67.03,2.46
67.16,2.34
67.29,2.12
67.43,1.94
67.56,1.86
67.69,1.63
67.83,1.54
67.96,1.43
68.09,1.26
68.23,1.18
68.36,1.13
68.49,0.99
68.63,0.92
68.76,0.86
68.89,0.77
69.03,0.67
69.16,0.69
69.29,0.57
69.43,0.52
69.56,0.50
69.69,0.43
69.83,0.41
69.96,0.43
70.09,0.34
70.23,0.31
70.36,0.33
70.49,0.31
70.63,0.23
70.76,0.27
70.89,0.22
71.03,0.22
71.16,0.19
71.29,0.19
71.43,0.15
71.56,0.14
71.69,0.15
71.83,0.12
71.96,0.10
72.09,0.12
72.23,0.05
72.36,0.07
72.49,0.09
72.62,0.02
72.76,0.06
72.89,0.05
73.02,-0.01
73.16,0.05
73.29,0.03
73.42,-0.04
73.56,0.01
73.69,0.03
73.82,-0.03
73.96,0.00
74.09,-0.03
74.22,-0.09
74.36,-0.04
74.49,-0.02
74.62,-0.08
74.76,-0.04
74.89,-0.04
75.02,-0.10
75.16,-0.07
75.29,-0.06
75.42,-0.10
75.56,-0.05
75.69,-0.12
75.82,-0.13
75.96,0.03
76.09,-0.20
76.22,-0.12
76.36,-0.14
76.49,-0.12
76.62,-0.08
76.76,-0.11
76.89,-0.16
77.02,-0.10
77.16,-0.10
77.29,-0.17
77.42,-0.08
77.56,-0.12
77.69,-0.15
77.82,-0.09
77.96,-0.12
78.09,-0.15
78.22,-0.05
78.35,-0.15
78.49,-0.16
78.62,-0.10
78.75,-0.18
78.89,-0.15
79.02,-0.08
79.15,-0.17
79.29,-0.14
79.42,-0.07
79.55,-0.15
79.69,-0.12
79.82,-0.09
79.95,-0.15
80.09,-0.12
80.22,-0.06
80.35,-0.14
80.49,-0.12
80.62,-0.11
80.75,-0.15
80.89,-0.13
81.02,-0.13
81.15,-0.16
81.29,-0.16
81.42,-0.15
81.55,-0.13
81.69,-0.14
81.82,-0.11
81.95,-0.14
82.09,-0.14
82.22,-0.09
82.35,-0.14
82.49,-0.15
82.62,-0.11
82.75,-0.16
82.89,-0.14
83.02,-0.15
83.15,-0.17
83.29,-0.14
83.42,-0.17
83.55,-0.18
83.69,-0.16
83.82,-0.15
83.95,-0.21
84.08,-0.16
84.22,-0.19
84.35,-0.18
84.48,-0.16
84.62,-0.19
84.75,-0.19
84.88,-0.15
85.02,-0.17
85.15,-0.20
85.28,0.02
85.42,-0.20
85.55,-0.16
85.68,-0.27
85.82,-0.15
85.95,-0.17
86.08,-0.27
86.22,-0.15
86.35,-0.20
86.48,-0.21
86.62,-0.14
86.75,-0.20
86.88,-0.22
87.02,-0.14
87.15,-0.19
87.28,-0.18
87.42,-0.13
87.55,-0.20
87.68,-0.15
87.82,-0.16
87.95,-0.20
88.08,-0.20
88.22,-0.15
88.35,-0.20
88.48,-0.16
